Entry	RefSeq	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Proteomes	Organism (ID)	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology IDs
Q884Q1	NP_791860.1;WP_003378641.1;	Q884Q1_PSESM	unreviewed	Smr domain protein	PSPTO_2037	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	185	UP000002515: Chromosome	223283			DNA endonuclease activity [GO:0004520]	DNA endonuclease activity [GO:0004520]	GO:0004520
Q884Q2	NP_791859.1;	Q884Q2_PSESM	unreviewed	Lipoprotein, putative	PSPTO_2036	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	58	UP000002515: Chromosome	223283					
Q884Q4	NP_791857.1;WP_007244324.1;	Q884Q4_PSESM	unreviewed	GST N-terminal domain-containing protein	PSPTO_2034	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	125	UP000002515: Chromosome	223283					
Q884Q5	NP_791856.1;WP_011103812.1;	Q884Q5_PSESM	unreviewed	Lipoprotein, putative	PSPTO_2033	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	128	UP000002515: Chromosome	223283					
Q884Q6	NP_791855.1;WP_005766893.1;	Q884Q6_PSESM	unreviewed	Glutathione S-transferase family protein	PSPTO_2032	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	200	UP000002515: Chromosome	223283					
Q884Q7	NP_791854.1;	Q884Q7_PSESM	unreviewed	Benzoate transport C-terminal domain protein	PSPTO_2031	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	163	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	benzoate transmembrane transporter activity [GO:0042925]	plasma membrane [GO:0005886]; benzoate transmembrane transporter activity [GO:0042925]	GO:0005886; GO:0042925
Q884Q8	NP_791853.1;	Q884Q8_PSESM	unreviewed	Muramoyltetrapeptide carboxypeptidase, putative	PSPTO_2030	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	333	UP000002515: Chromosome	223283	proteolysis [GO:0006508]		carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]	carboxypeptidase activity [GO:0004180]; serine-type peptidase activity [GO:0008236]; proteolysis [GO:0006508]	GO:0004180; GO:0006508; GO:0008236
Q884Q9	NP_791852.1;	Q884Q9_PSESM	unreviewed	Oxidoreductase, zinc-binding protein	PSPTO_2029	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	386	UP000002515: Chromosome	223283			oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]	oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]	GO:0016628
Q884R1	NP_791850.1;	Q884R1_PSESM	unreviewed	DUF1534 domain-containing protein	PSPTO_2027	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	38	UP000002515: Chromosome	223283					
Q884R2	NP_791849.1;	Q884R2_PSESM	unreviewed	Ethanolamine permease family protein	PSPTO_2026	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	454	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
Q884R3	NP_791848.1;WP_005766904.1;	Q884R3_PSESM	unreviewed	DUF2897 family protein	PSPTO_2025	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	55	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q884R4	NP_791847.1;	Q884R4_PSESM	unreviewed	Conserved domain protein	PSPTO_2024	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	279	UP000002515: Chromosome	223283					
Q884R5	NP_791846.1;WP_005766910.1;	Q884R5_PSESM	unreviewed	Exonuclease, putative	PSPTO_2023	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	180	UP000002515: Chromosome	223283	DNA metabolic process [GO:0006259]		3'-5'-RNA exonuclease activity [GO:0000175]; nucleic acid binding [GO:0003676]	3'-5'-RNA exonuclease activity [GO:0000175]; nucleic acid binding [GO:0003676]; DNA metabolic process [GO:0006259]	GO:0000175; GO:0003676; GO:0006259
Q884R7	NP_791844.1;WP_005766911.1;	Q884R7_PSESM	unreviewed	ABC transporter, ATP-binding/permease protein	PSPTO_2021	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	589	UP000002515: Chromosome	223283	oligopeptide export from mitochondrion [GO:0090374]	plasma membrane [GO:0005886]	ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; oligopeptide export from mitochondrion [GO:0090374]	GO:0005524; GO:0005886; GO:0015421; GO:0016887; GO:0090374
Q884R8	NP_791843.1;	Q884R8_PSESM	unreviewed	Uncharacterized protein	PSPTO_2020	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	110	UP000002515: Chromosome	223283					
Q884S3	NP_791838.1;	Q884S3_PSESM	unreviewed	CAAX amino terminal protease family protein	PSPTO_2015	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	266	UP000002515: Chromosome	223283	CAAX-box protein maturation [GO:0080120]; proteolysis [GO:0006508]	membrane [GO:0016020]	endopeptidase activity [GO:0004175]	membrane [GO:0016020]; endopeptidase activity [GO:0004175]; CAAX-box protein maturation [GO:0080120]; proteolysis [GO:0006508]	GO:0004175; GO:0006508; GO:0016020; GO:0080120
Q884S4	NP_791837.1;WP_011103804.1;	Q884S4_PSESM	unreviewed	Aerotaxis receptor	aer-2 PSPTO_2014	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	521	UP000002515: Chromosome	223283	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0005886; GO:0006935; GO:0007165
Q884S5	NP_791836.1;WP_011103803.1;	Q884S5_PSESM	unreviewed	Uncharacterized protein	PSPTO_2013	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	220	UP000002515: Chromosome	223283					
Q884S6	NP_791835.1;WP_005766927.1;	Q884S6_PSESM	unreviewed	Uncharacterized protein	PSPTO_2012	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	178	UP000002515: Chromosome	223283					
Q884S7	NP_791834.1;	Q884S7_PSESM	unreviewed	Autotransporter, putative	PSPTO_2011	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	769	UP000002515: Chromosome	223283		outer membrane [GO:0019867]		outer membrane [GO:0019867]	GO:0019867
Q884S8	NP_791832.1;WP_011103801.1;	Q884S8_PSESM	unreviewed	Uncharacterized protein	PSPTO_2009	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	539	UP000002515: Chromosome	223283					
Q884S9	NP_791830.1;WP_011103800.1;	Q884S9_PSESM	unreviewed	BIG2 domain-containing protein	PSPTO_2007	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	618	UP000002515: Chromosome	223283					
Q884T0	NP_791829.1;	Q884T0_PSESM	unreviewed	Lipoprotein	PSPTO_2006	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	157	UP000002515: Chromosome	223283					
Q884T1	NP_791828.1;	Q884T1_PSESM	unreviewed	Conserved domain protein	PSPTO_2005	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	330	UP000002515: Chromosome	223283					
Q884T3	NP_791826.1;WP_011103796.1;	Q884T3_PSESM	unreviewed	Cytochrome c oxidase, cbb3-type, subunit II	ccoO PSPTO_2003	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	202	UP000002515: Chromosome	223283		membrane [GO:0016020]	electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	membrane [GO:0016020]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]	GO:0009055; GO:0016020; GO:0020037; GO:0046872
Q884T4	NP_791825.1;WP_005766941.1;	Q884T4_PSESM	unreviewed	Cytochrome c oxidase, cbb3-type, CcoQ subunit	ccoQ PSPTO_2002	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	63	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q884T6	NP_791823.1;WP_005766946.1;	Q884T6_PSESM	unreviewed	Antitoxin	PSPTO_2000	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	83	UP000002515: Chromosome	223283					
Q884T7	NP_791822.1;WP_005766948.1;	Q884T7_PSESM	unreviewed	PIN domain protein	PSPTO_1999	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	150	UP000002515: Chromosome	223283			metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	metal ion binding [GO:0046872]; nuclease activity [GO:0004518]	GO:0004518; GO:0046872
Q884T8	NP_791821.1;	Q884T8_PSESM	unreviewed	FixG-related protein	PSPTO_1998	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	470	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]	GO:0005886; GO:0046872; GO:0051539
Q884T9	NP_791820.1;WP_011103795.1;	Q884T9_PSESM	unreviewed	FixH family protein	PSPTO_1997	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	178	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q884U1	NP_791818.1;WP_005766953.1;	Q884U1_PSESM	unreviewed	Cytochrome oxidase maturation protein, cbb3-type	ccoS PSPTO_1995	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	67	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q884U2	NP_791817.1;WP_005766954.1;	Q884U2_PSESM	unreviewed	Membrane protein, putative	PSPTO_1994	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	227	UP000002515: Chromosome	223283		membrane [GO:0016020]		membrane [GO:0016020]	GO:0016020
Q884U4	NP_791815.1;	Q884U4_PSESM	unreviewed	Chemotaxis protein	PSPTO_1992	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	159	UP000002515: Chromosome	223283					
Q884U5	NP_791814.1;	Q884U5_PSESM	unreviewed	Transcriptional activator Anr	anr PSPTO_1991	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	244	UP000002515: Chromosome	223283		cytosol [GO:0005829]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0005829
Q884U7	NP_791812.1;	Q884U7_PSESM	unreviewed	DUF2802 domain-containing protein	PSPTO_1989	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	119	UP000002515: Chromosome	223283					
Q884U8	NP_791811.1;WP_002554262.1;	Q884U8_PSESM	unreviewed	Chemotaxis protein CheW	cheW-2 PSPTO_1988	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	159	UP000002515: Chromosome	223283	chemotaxis [GO:0006935]; signal transduction [GO:0007165]	cytosol [GO:0005829]		cytosol [GO:0005829]; chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0005829; GO:0006935; GO:0007165
Q884U9	NP_791810.1;WP_007244357.1;	Q884U9_PSESM	unreviewed	CheW domain protein	PSPTO_1987	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	295	UP000002515: Chromosome	223283	chemotaxis [GO:0006935]; signal transduction [GO:0007165]			chemotaxis [GO:0006935]; signal transduction [GO:0007165]	GO:0006935; GO:0007165
Q884V0	NP_791809.1;WP_005766970.1;	Q884V0_PSESM	unreviewed	ParA family protein	PSPTO_1986	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	262	UP000002515: Chromosome	223283					
Q884V1	NP_791808.1;	Q884V1_PSESM	unreviewed	MotB protein	PSPTO_1985	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	295	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]		plasma membrane [GO:0005886]	GO:0005886
Q884V2	NP_791807.1;WP_003378725.1;	Q884V2_PSESM	unreviewed	Chemotaxis motA protein	motA-1 PSPTO_1984	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	246	UP000002515: Chromosome	223283	bacterial-type flagellum-dependent swarming motility [GO:0071978]; chemotaxis [GO:0006935]; protein transport [GO:0015031]	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]; bacterial-type flagellum-dependent swarming motility [GO:0071978]; chemotaxis [GO:0006935]; protein transport [GO:0015031]	GO:0005886; GO:0006935; GO:0015031; GO:0071978
Q884V6	NP_791803.1;WP_007244361.1;	Q884V6_PSESM	unreviewed	Chemotaxis protein CheY	cheY-2 PSPTO_1980	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	124	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]			phosphorelay signal transduction system [GO:0000160]	GO:0000160
Q884V8	NP_791801.1;	Q884V8_PSESM	unreviewed	Flagellar synthesis regulator FleN	fleN PSPTO_1978	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	274	UP000002515: Chromosome	223283	negative regulation of cell division [GO:0051782]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; negative regulation of cell division [GO:0051782]	GO:0005524; GO:0005829; GO:0009898; GO:0016887; GO:0051782
Q884W3	NP_791796.1;WP_002554277.1;	Q884W3_PSESM	unreviewed	Flagellar biosynthetic protein FliQ	fliQ PSPTO_1973	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	89	UP000002515: Chromosome	223283	protein secretion [GO:0009306]	plasma membrane [GO:0005886]		plasma membrane [GO:0005886]; protein secretion [GO:0009306]	GO:0005886; GO:0009306
Q884W9	NP_791790.1;	Q884W9_PSESM	unreviewed	Uncharacterized protein	PSPTO_1967	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	59	UP000002515: Chromosome	223283					
Q884X0	NP_791789.1;WP_011103786.1;	Q884X0_PSESM	unreviewed	Flagellar hook-length control protein FliK	fliK PSPTO_1966	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	474	UP000002515: Chromosome	223283					
Q884X1	NP_791788.1;WP_005766990.1;	Q884X1_PSESM	unreviewed	Hpt domain protein	PSPTO_1965	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	118	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]	cytoplasm [GO:0005737]	histidine phosphotransfer kinase activity [GO:0009927]; protein histidine kinase binding [GO:0043424]	cytoplasm [GO:0005737]; histidine phosphotransfer kinase activity [GO:0009927]; protein histidine kinase binding [GO:0043424]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0005737; GO:0009927; GO:0043424
Q884X2	NP_791787.1;WP_011103785.1;	Q884X2_PSESM	unreviewed	Response regulator	PSPTO_1964	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	568	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]		phosphatase activity [GO:0016791]	phosphatase activity [GO:0016791]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0016791
Q884X3	NP_791786.1;WP_005616835.1;	Q884X3_PSESM	unreviewed	STAS domain protein	PSPTO_1963	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	100	UP000002515: Chromosome	223283			anti-sigma factor antagonist activity [GO:0043856]	anti-sigma factor antagonist activity [GO:0043856]	GO:0043856
Q884Y0	NP_791779.1;WP_011103783.1;	Q884Y0_PSESM	unreviewed	Sigma-54 dependent transcriptional regulator/response regulator FleR	fleR PSPTO_1956	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	471	UP000002515: Chromosome	223283	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	GO:0000160; GO:0005524; GO:0006355; GO:0016887; GO:0043565
Q884Y1	NP_791778.1;	Q884Y1_PSESM	unreviewed	histidine kinase (EC 2.7.13.3)	fleS PSPTO_1955	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	368	UP000002515: Chromosome	223283			phosphorelay sensor kinase activity [GO:0000155]	phosphorelay sensor kinase activity [GO:0000155]	GO:0000155
Q884Y2	NP_791777.1;WP_003382141.1;	Q884Y2_PSESM	unreviewed	Transcriptional regulator FleQ	fleQ PSPTO_1954	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	491	UP000002515: Chromosome	223283	regulation of DNA-templated transcription [GO:0006355]		ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; sequence-specific DNA binding [GO:0043565]; regulation of DNA-templated transcription [GO:0006355]	GO:0005524; GO:0006355; GO:0016887; GO:0043565
Q884Y3	NP_791776.1;	Q884Y3_PSESM	unreviewed	Flagellar protein FliT	PSPTO_1953	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	98	UP000002515: Chromosome	223283	bacterial-type flagellum organization [GO:0044781]			bacterial-type flagellum organization [GO:0044781]	GO:0044781
Q884Y4	NP_791775.1;WP_003382140.1;	Q884Y4_PSESM	unreviewed	Flagellar secretion chaperone FliS	fliS PSPTO_1952	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	129	UP000002515: Chromosome	223283	bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]	cytosol [GO:0005829]		cytosol [GO:0005829]; bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]	GO:0005829; GO:0044780; GO:0071973
Q884Y6	NP_791773.1;	Q884Y6_PSESM	unreviewed	Flagellin FlaG, putative	PSPTO_1950	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	132	UP000002515: Chromosome	223283					
Q884Y8	NP_791771.1;WP_005767011.1;	Q884Y8_PSESM	unreviewed	3-oxoacyl-(Acyl-carrier-protein) synthase III, putative	PSPTO_1948	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	308	UP000002515: Chromosome	223283	fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]		3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	GO:0004315; GO:0006633; GO:0044550
Q884Y9	NP_791770.1;WP_005767013.1;	Q884Y9_PSESM	unreviewed	Glycosyl transferase, group 2 family protein	PSPTO_1947	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	968	UP000002515: Chromosome	223283			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740
Q884Z0	NP_791769.1;WP_005767015.1;	Q884Z0_PSESM	unreviewed	Glycosyl transferase, group 2 family protein	PSPTO_1946	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	1191	UP000002515: Chromosome	223283			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740
Q884Z7	NP_791762.1;WP_005767027.1;	Q884Z7_PSESM	unreviewed	Flagellar basal-body rod protein FlgF	flgF PSPTO_1939	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	246	UP000002515: Chromosome	223283	bacterial-type flagellum-dependent swarming motility [GO:0071978]	bacterial-type flagellum basal body, rod [GO:0030694]		bacterial-type flagellum basal body, rod [GO:0030694]; bacterial-type flagellum-dependent swarming motility [GO:0071978]	GO:0030694; GO:0071978
Q884Z8	NP_791761.1;	Q884Z8_PSESM	unreviewed	DUF1534 domain-containing protein	PSPTO_1938	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	47	UP000002515: Chromosome	223283					
Q885A1	NP_791758.1;WP_007244383.1;	Q885A1_PSESM	unreviewed	Basal-body rod modification protein FlgD	flgD PSPTO_1935	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	229	UP000002515: Chromosome	223283	bacterial-type flagellum organization [GO:0044781]			bacterial-type flagellum organization [GO:0044781]	GO:0044781
Q885A2	NP_791757.1;WP_002554316.1;	Q885A2_PSESM	unreviewed	Flagellar basal-body rod protein FlgC	flgC PSPTO_1934	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	146	UP000002515: Chromosome	223283	bacterial-type flagellum-dependent swarming motility [GO:0071978]	bacterial-type flagellum basal body, rod [GO:0030694]		bacterial-type flagellum basal body, rod [GO:0030694]; bacterial-type flagellum-dependent swarming motility [GO:0071978]	GO:0030694; GO:0071978
Q885A4	NP_791755.1;	Q885A4_PSESM	unreviewed	Uncharacterized protein	PSPTO_1932	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	52	UP000002515: Chromosome	223283					
Q885A5	NP_791754.1;WP_011103775.1;	Q885A5_PSESM	unreviewed	Nuclear transport factor 2 family protein	PSPTO_1931	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	157	UP000002515: Chromosome	223283					
Q885A7	NP_791751.1;	Q885A7_PSESM	unreviewed	protein-glutamate O-methyltransferase (EC 2.1.1.80)	cheR-2 PSPTO_1928	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	280	UP000002515: Chromosome	223283	methylation [GO:0032259]		protein-glutamate O-methyltransferase activity [GO:0008983]	protein-glutamate O-methyltransferase activity [GO:0008983]; methylation [GO:0032259]	GO:0008983; GO:0032259
Q885A8	NP_791750.1;WP_005771567.1;	Q885A8_PSESM	unreviewed	Chemotaxis protein CheV, putative	PSPTO_1927	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	308	UP000002515: Chromosome	223283	chemotaxis [GO:0006935]; phosphorelay signal transduction system [GO:0000160]			chemotaxis [GO:0006935]; phosphorelay signal transduction system [GO:0000160]	GO:0000160; GO:0006935
Q885A9	NP_791749.1;	Q885A9_PSESM	unreviewed	Flagella basal body P-ring formation protein FlgA	PSPTO_1926	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	248	UP000002515: Chromosome	223283	bacterial-type flagellum assembly [GO:0044780]	periplasmic space [GO:0042597]		periplasmic space [GO:0042597]; bacterial-type flagellum assembly [GO:0044780]	GO:0042597; GO:0044780
Q885B1	NP_791747.1;WP_005771571.1;	Q885B1_PSESM	unreviewed	Flagellar protein FlgN	PSPTO_1924	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	155	UP000002515: Chromosome	223283	bacterial-type flagellum assembly [GO:0044780]			bacterial-type flagellum assembly [GO:0044780]	GO:0044780
Q885B2	NP_791746.1;WP_005771573.1;	Q885B2_PSESM	unreviewed	Pilus assembly protein PilZ	PSPTO_1923	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	248	UP000002515: Chromosome	223283		bacterial-type flagellum [GO:0009288]	cyclic-di-GMP binding [GO:0035438]	bacterial-type flagellum [GO:0009288]; cyclic-di-GMP binding [GO:0035438]	GO:0009288; GO:0035438
Q885B3	NP_791745.1;WP_011103773.1;	Q885B3_PSESM	unreviewed	Major facilitator family transporter	PSPTO_1922	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	465	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
Q885B4	NP_791744.1;	Q885B4_PSESM	unreviewed	Glutamine synthetase	PSPTO_1921	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	447	UP000002515: Chromosome	223283	glutamine biosynthetic process [GO:0006542]; polyamine catabolic process [GO:0006598]		glutamine synthetase activity [GO:0004356]	glutamine synthetase activity [GO:0004356]; glutamine biosynthetic process [GO:0006542]; polyamine catabolic process [GO:0006598]	GO:0004356; GO:0006542; GO:0006598
Q885B5	NP_791743.1;	Q885B5_PSESM	unreviewed	Aminotransferase, DegT/DnrJ/EryC1/StrS family	PSPTO_1920	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	372	UP000002515: Chromosome	223283	polysaccharide biosynthetic process [GO:0000271]		pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; polysaccharide biosynthetic process [GO:0000271]	GO:0000271; GO:0008483; GO:0030170
Q885B6	NP_791742.1;WP_005771583.1;	Q885B6_PSESM	unreviewed	SAM-dependent methyltransferase	PSPTO_1919	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	241	UP000002515: Chromosome	223283					
Q885B7	NP_791741.1;WP_011103771.1;	Q885B7_PSESM	unreviewed	Glycosyl transferase, group 2 family protein	PSPTO_1918	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	1173	UP000002515: Chromosome	223283			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740
Q885B8	NP_791740.1;WP_011103770.1;	Q885B8_PSESM	unreviewed	Major facilitator family transporter	PSPTO_1917	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	415	UP000002515: Chromosome	223283		plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0022857
Q885B9	NP_791739.1;	Q885B9_PSESM	unreviewed	3-oxoacyl-(Acyl-carrier-protein) synthase III, putative	PSPTO_1916	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	338	UP000002515: Chromosome	223283	fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]		3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]	GO:0004315; GO:0006633; GO:0044550
Q885C0	NP_791738.1;	Q885C0_PSESM	unreviewed	Bacterial transferase, hexapeptide repeat protein	PSPTO_1915	Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000)	213	UP000002515: Chromosome	223283			transferase activity [GO:0016740]	transferase activity [GO:0016740]	GO:0016740
