HOG	OG	Gene Tree Parent Clade	DC3000_protein_12_2025	plate25.C2.annotation
N0.HOG0003222	OG0002986	-	WP_011103494.1	DAKCFMEO_03303
N0.HOG0003223	OG0002987	-	WP_011103496.1	DAKCFMEO_03296
N0.HOG0003224	OG0002988	-	WP_011103499.1	DAKCFMEO_02977
N0.HOG0003225	OG0002989	-	WP_011103501.1	DAKCFMEO_02990
N0.HOG0003226	OG0002990	-	WP_011103503.1	DAKCFMEO_02994
N0.HOG0003227	OG0002991	-	WP_011103508.1	DAKCFMEO_03014
N0.HOG0003228	OG0002992	-	WP_011103509.1	DAKCFMEO_03015
N0.HOG0003229	OG0002993	-	WP_011103511.1	DAKCFMEO_03016
N0.HOG0003230	OG0002994	-	WP_011103513.1	DAKCFMEO_03018
N0.HOG0003231	OG0002995	-	WP_011103515.1	DAKCFMEO_04791
N0.HOG0003232	OG0002996	-	WP_011103517.1	DAKCFMEO_02892
N0.HOG0003233	OG0002997	-	WP_011103523.1	DAKCFMEO_01772
N0.HOG0003234	OG0002998	-	WP_011103524.1	DAKCFMEO_01768
N0.HOG0003235	OG0002999	-	WP_011103525.1	DAKCFMEO_01765
N0.HOG0003236	OG0003000	-	WP_011103527.1	DAKCFMEO_01291
N0.HOG0003237	OG0003001	-	WP_011103528.1	DAKCFMEO_04465
N0.HOG0003238	OG0003002	-	WP_011103532.1	DAKCFMEO_01473
N0.HOG0003239	OG0003003	-	WP_011103537.1	DAKCFMEO_01466
N0.HOG0003240	OG0003004	-	WP_011103538.1	DAKCFMEO_01461
N0.HOG0003241	OG0003005	-	WP_011103544.1	DAKCFMEO_03322
N0.HOG0003242	OG0003006	-	WP_011103546.1	DAKCFMEO_03343
N0.HOG0003243	OG0003007	-	WP_011103549.1	DAKCFMEO_03352
N0.HOG0003244	OG0003008	-	WP_011103550.1	DAKCFMEO_03356
N0.HOG0003245	OG0003009	-	WP_011103551.1	DAKCFMEO_03358
N0.HOG0003246	OG0003010	-	WP_011103555.1, WP_011107017.1	
N0.HOG0003247	OG0003011	-	WP_011103560.1	DAKCFMEO_03280
N0.HOG0003248	OG0003012	-	WP_011103562.1	DAKCFMEO_03277
N0.HOG0003249	OG0003013	-	WP_011103564.1	DAKCFMEO_03274
N0.HOG0003250	OG0003014	-	WP_011103566.1	DAKCFMEO_03273
N0.HOG0003251	OG0003015	-	WP_011103567.1	DAKCFMEO_03268
N0.HOG0003252	OG0003016	-	WP_011103569.1	DAKCFMEO_03257
N0.HOG0003253	OG0003017	-	WP_011103574.1	DAKCFMEO_03250
N0.HOG0003254	OG0003018	-	WP_011103575.1	DAKCFMEO_03249
N0.HOG0003255	OG0003019	-	WP_011104869.1, WP_011103577.1	
N0.HOG0003256	OG0003020	-	WP_011103578.1	DAKCFMEO_03244
N0.HOG0003257	OG0003021	-	WP_011103579.1	DAKCFMEO_03242
N0.HOG0003258	OG0003022	-	WP_011103581.1	DAKCFMEO_03232
N0.HOG0003259	OG0003023	-	WP_011103582.1	DAKCFMEO_03228
N0.HOG0003260	OG0003024	-	WP_011103583.1	DAKCFMEO_03226
N0.HOG0003261	OG0003025	-	WP_011103587.1	DAKCFMEO_03208
N0.HOG0003262	OG0003026	-	WP_011103588.1	DAKCFMEO_03207
N0.HOG0003263	OG0003027	-	WP_011103589.1	DAKCFMEO_03206
N0.HOG0003264	OG0003028	-	WP_011103590.1	DAKCFMEO_03203
N0.HOG0003265	OG0003029	-	WP_011103591.1	DAKCFMEO_03202
N0.HOG0003266	OG0003030	-	WP_011103592.1	DAKCFMEO_03194
N0.HOG0003267	OG0003031	-	WP_011103593.1	DAKCFMEO_03192
N0.HOG0003268	OG0003032	-	WP_011103594.1	DAKCFMEO_03187
N0.HOG0003269	OG0003033	-	WP_011103595.1	DAKCFMEO_03186
N0.HOG0003270	OG0003034	-	WP_011103596.1	DAKCFMEO_03184
N0.HOG0003271	OG0003035	-	WP_011103598.1	DAKCFMEO_03172
N0.HOG0003272	OG0003036	-	WP_011103605.1	DAKCFMEO_00068
N0.HOG0003273	OG0003037	-	WP_011103606.1	DAKCFMEO_03321
N0.HOG0003274	OG0003038	-	WP_011103609.1	DAKCFMEO_00066
N0.HOG0003275	OG0003039	-	WP_011103610.1	DAKCFMEO_00065
N0.HOG0003276	OG0003040	-	WP_011103611.1	DAKCFMEO_00064
N0.HOG0003277	OG0003041	-	WP_011103614.1	DAKCFMEO_04445
N0.HOG0003278	OG0003042	-	WP_011103617.1	DAKCFMEO_00052
N0.HOG0003279	OG0003043	-	WP_011103623.1	DAKCFMEO_00037
N0.HOG0003280	OG0003044	-	WP_011103625.1	DAKCFMEO_00035
N0.HOG0003281	OG0003045	-	WP_011103626.1	DAKCFMEO_00032
N0.HOG0003282	OG0003046	-	WP_011103627.1	DAKCFMEO_00031
N0.HOG0003283	OG0003047	-	WP_011103628.1	DAKCFMEO_00029
N0.HOG0003284	OG0003048	-	WP_011103631.1	DAKCFMEO_00024
N0.HOG0003285	OG0003049	-	WP_011103632.1	DAKCFMEO_00023
N0.HOG0003286	OG0003050	-	WP_011103637.1	DAKCFMEO_04209
N0.HOG0003287	OG0003051	-	WP_011103640.1	DAKCFMEO_04212
N0.HOG0003288	OG0003052	-	WP_011103641.1	DAKCFMEO_04213
N0.HOG0003289	OG0003053	-	WP_011103642.1	DAKCFMEO_04214
N0.HOG0003290	OG0003054	-	WP_011103643.1	DAKCFMEO_04215
N0.HOG0003291	OG0003055	-	WP_011103644.1	DAKCFMEO_04220
N0.HOG0003292	OG0003056	-	WP_011103665.1	DAKCFMEO_02239
N0.HOG0003293	OG0003057	-	WP_011103669.1	DAKCFMEO_02249
N0.HOG0003294	OG0003058	-	WP_011103670.1	DAKCFMEO_02250
N0.HOG0003295	OG0003059	-	WP_011103671.1	DAKCFMEO_02253
N0.HOG0003296	OG0003060	-	WP_011103672.1	DAKCFMEO_02255
N0.HOG0003297	OG0003061	-	WP_011103673.1	DAKCFMEO_02259
N0.HOG0003298	OG0003062	-	WP_011103674.1	DAKCFMEO_02261
N0.HOG0003299	OG0003063	-	WP_011103676.1	DAKCFMEO_02263
N0.HOG0003300	OG0003064	-	WP_011103677.1	DAKCFMEO_02269
N0.HOG0003301	OG0003065	-	WP_011103680.1	DAKCFMEO_02279
N0.HOG0003302	OG0003066	-	WP_011103681.1	DAKCFMEO_02280
N0.HOG0003303	OG0003067	-	WP_011103682.1	DAKCFMEO_02285
N0.HOG0003304	OG0003068	-	WP_011103684.1	DAKCFMEO_02287
N0.HOG0003305	OG0003069	-	WP_011103689.1	DAKCFMEO_02297
N0.HOG0003306	OG0003070	-	WP_011103690.1	DAKCFMEO_02302
N0.HOG0003307	OG0003071	-	WP_011103691.1	DAKCFMEO_02304
N0.HOG0003308	OG0003072	-	WP_011103692.1	DAKCFMEO_02308
N0.HOG0003309	OG0003073	-	WP_011103695.1	DAKCFMEO_02321
N0.HOG0003310	OG0003074	-	WP_011103696.1	DAKCFMEO_02322
N0.HOG0003311	OG0003075	-	WP_011103697.1	DAKCFMEO_02323
N0.HOG0003312	OG0003076	-	WP_011103699.1	DAKCFMEO_02326
N0.HOG0003313	OG0003077	-	WP_011103701.1	DAKCFMEO_02335
N0.HOG0003314	OG0003078	-	WP_011103706.1	DAKCFMEO_02369
N0.HOG0003315	OG0003079	-	WP_011103707.1	DAKCFMEO_02370
N0.HOG0003316	OG0003080	-	WP_011103708.1	DAKCFMEO_02372
N0.HOG0003317	OG0003081	-	WP_011103709.1	DAKCFMEO_02378
N0.HOG0003318	OG0003082	-	WP_011103710.1	DAKCFMEO_02380
N0.HOG0003319	OG0003083	-	WP_011103711.1	DAKCFMEO_02382
N0.HOG0003320	OG0003084	-	WP_011103715.1	DAKCFMEO_04509
N0.HOG0003321	OG0003085	-	WP_011103718.1	DAKCFMEO_04513
N0.HOG0003322	OG0003086	-	WP_011103720.1	DAKCFMEO_04517
N0.HOG0003323	OG0003087	-	WP_011103722.1	DAKCFMEO_02397
N0.HOG0003324	OG0003088	-	WP_011103723.1	DAKCFMEO_02398
N0.HOG0003325	OG0003089	-	WP_011103730.1	DAKCFMEO_04825
N0.HOG0003326	OG0003090	-	WP_011103731.1	DAKCFMEO_02424
N0.HOG0003327	OG0003091	-	WP_011103732.1	DAKCFMEO_02422
N0.HOG0003328	OG0003092	-	WP_011103734.1	DAKCFMEO_00838
N0.HOG0003329	OG0003093	-	WP_011103735.1	DAKCFMEO_00837
N0.HOG0003330	OG0003094	-	WP_011103737.1	DAKCFMEO_03935
N0.HOG0003331	OG0003095	-	WP_011103740.1	DAKCFMEO_02443
N0.HOG0003332	OG0003096	-	WP_011103748.1	DAKCFMEO_02453
N0.HOG0003333	OG0003097	-	WP_011103750.1	DAKCFMEO_02455
N0.HOG0003334	OG0003098	-	WP_011103752.1	DAKCFMEO_02458
N0.HOG0003335	OG0003099	-	WP_011103753.1	DAKCFMEO_02461
N0.HOG0003336	OG0003100	-	WP_011103756.1	DAKCFMEO_02466
N0.HOG0003337	OG0003101	-	WP_011103757.1	DAKCFMEO_02468
N0.HOG0003338	OG0003102	-	WP_011103759.1	DAKCFMEO_02471
N0.HOG0003339	OG0003103	-	WP_011103761.1, WP_011104066.1	
N0.HOG0003340	OG0003104	-	WP_011103766.1	DAKCFMEO_02486
N0.HOG0003341	OG0003105	-	WP_011103771.1	DAKCFMEO_02492
N0.HOG0003342	OG0003106	-	WP_011103773.1	DAKCFMEO_02496
N0.HOG0003343	OG0003107	-	WP_011103775.1	DAKCFMEO_00997
N0.HOG0003344	OG0003108	-	WP_011103779.1	DAKCFMEO_02514
N0.HOG0003345	OG0003109	-	WP_011103781.1	DAKCFMEO_02520
N0.HOG0003346	OG0003110	-	WP_011103783.1	DAKCFMEO_02525
N0.HOG0003347	OG0003111	-	WP_011103785.1	DAKCFMEO_02533
N0.HOG0003348	OG0003112	-	WP_011103786.1	DAKCFMEO_02535
N0.HOG0003349	OG0003113	-	WP_011103790.1	DAKCFMEO_02550
N0.HOG0003350	OG0003114	-	WP_011103791.1	DAKCFMEO_02553
N0.HOG0003351	OG0003115	-	WP_011103794.1	DAKCFMEO_02562
N0.HOG0003352	OG0003116	-	WP_011103795.1	DAKCFMEO_02566
N0.HOG0003353	OG0003117	-	WP_011103796.1	DAKCFMEO_02572
N0.HOG0003354	OG0003118	-	WP_011103797.1	DAKCFMEO_02573
N0.HOG0003355	OG0003119	-	WP_011103806.1	DAKCFMEO_02584
N0.HOG0003356	OG0003120	-	WP_011103811.1	DAKCFMEO_02597
N0.HOG0003357	OG0003121	-	WP_011103812.1	DAKCFMEO_02601
N0.HOG0003358	OG0003122	-	WP_011103814.1	DAKCFMEO_02607
N0.HOG0003359	OG0003123	-	WP_011103816.1	DAKCFMEO_02610
N0.HOG0003360	OG0003124	-	WP_011103818.1	DAKCFMEO_02614
N0.HOG0003361	OG0003125	-	WP_011103819.1	DAKCFMEO_02618
N0.HOG0003362	OG0003126	-	WP_011103820.1	DAKCFMEO_02619
N0.HOG0003363	OG0003127	-	WP_011103821.1	DAKCFMEO_02623
N0.HOG0003364	OG0003128	-	WP_011103822.1	DAKCFMEO_02630
N0.HOG0003365	OG0003129	-	WP_011103824.1	DAKCFMEO_02637
N0.HOG0003366	OG0003130	-	WP_011103839.1, WP_011104841.1	
N0.HOG0003367	OG0003131	-	WP_011103840.1, WP_011104840.1	
N0.HOG0003368	OG0003132	-	WP_011104793.1, WP_011103841.1	
N0.HOG0003369	OG0003133	-	WP_011103842.1, WP_011104792.1	
N0.HOG0003370	OG0003134	-	WP_011103847.1	DAKCFMEO_02642
N0.HOG0003371	OG0003135	-	WP_011103848.1	DAKCFMEO_02645
N0.HOG0003372	OG0003136	-	WP_011103849.1	DAKCFMEO_02646
N0.HOG0003373	OG0003137	-	WP_011103850.1	DAKCFMEO_02647
N0.HOG0003374	OG0003138	-	WP_011103851.1	DAKCFMEO_02649
N0.HOG0003375	OG0003139	-	WP_011103855.1	DAKCFMEO_02667
N0.HOG0003376	OG0003140	-	WP_011103856.1	DAKCFMEO_02672
N0.HOG0003377	OG0003141	-	WP_011103861.1	DAKCFMEO_02677
N0.HOG0003378	OG0003142	-	WP_011103863.1	DAKCFMEO_02682
N0.HOG0003379	OG0003143	-	WP_011103866.1	DAKCFMEO_02690
N0.HOG0003380	OG0003144	-	WP_011103869.1	DAKCFMEO_02697
N0.HOG0003381	OG0003145	-	WP_011103875.1	DAKCFMEO_02704
N0.HOG0003382	OG0003146	-	WP_011103877.1	DAKCFMEO_02706
N0.HOG0003383	OG0003147	-	WP_011103878.1	DAKCFMEO_02708
N0.HOG0003384	OG0003148	-	WP_011103880.1	DAKCFMEO_02712
N0.HOG0003385	OG0003149	-	WP_011103884.1	DAKCFMEO_00618
N0.HOG0003386	OG0003150	-	WP_011103885.1	DAKCFMEO_00619
N0.HOG0003387	OG0003151	-	WP_011103886.1	DAKCFMEO_00621
N0.HOG0003388	OG0003152	-	WP_011103887.1	DAKCFMEO_00625
N0.HOG0003389	OG0003153	-	WP_011103889.1	DAKCFMEO_00629
N0.HOG0003390	OG0003154	-	WP_011103890.1	DAKCFMEO_00635
N0.HOG0003391	OG0003155	-	WP_011103893.1	DAKCFMEO_00661
N0.HOG0003392	OG0003156	-	WP_011103894.1	DAKCFMEO_00665
N0.HOG0003393	OG0003157	-	WP_011103900.1	DAKCFMEO_00677
N0.HOG0003394	OG0003158	-	WP_011103902.1	DAKCFMEO_00679
N0.HOG0003395	OG0003159	-	WP_011103906.1	DAKCFMEO_00682
N0.HOG0003396	OG0003160	-	WP_011103910.1	DAKCFMEO_00687
N0.HOG0003397	OG0003161	-	WP_011103912.1	DAKCFMEO_00689
N0.HOG0003398	OG0003162	-	WP_011103913.1	DAKCFMEO_00690
N0.HOG0003399	OG0003163	-	WP_011103914.1	DAKCFMEO_00691
N0.HOG0003400	OG0003164	-	WP_011103916.1	DAKCFMEO_00696
N0.HOG0003401	OG0003165	-	WP_011103917.1	DAKCFMEO_00700
N0.HOG0003402	OG0003166	-	WP_011103918.1	DAKCFMEO_00701
N0.HOG0003403	OG0003167	-	WP_011103924.1	DAKCFMEO_00709
N0.HOG0003404	OG0003168	-	WP_011103925.1	DAKCFMEO_00711
N0.HOG0003405	OG0003169	-	WP_011103929.1	DAKCFMEO_00718
N0.HOG0003406	OG0003170	-	WP_011103932.1	DAKCFMEO_00728
N0.HOG0003407	OG0003171	-	WP_011103934.1	DAKCFMEO_00732
N0.HOG0003408	OG0003172	-	WP_011103935.1	DAKCFMEO_00737
N0.HOG0003409	OG0003173	-	WP_011103938.1	DAKCFMEO_00742
N0.HOG0003410	OG0003174	-	WP_011103940.1	DAKCFMEO_00744
N0.HOG0003411	OG0003175	-	WP_011103941.1	DAKCFMEO_00747
N0.HOG0003412	OG0003176	-	WP_011103942.1	DAKCFMEO_00748
N0.HOG0003413	OG0003177	-	WP_011103955.1	DAKCFMEO_00761
N0.HOG0003414	OG0003178	-	WP_011103957.1	DAKCFMEO_00765
N0.HOG0003415	OG0003179	-	WP_011103958.1	DAKCFMEO_00766
N0.HOG0003416	OG0003180	-	WP_011103961.1	DAKCFMEO_00772
N0.HOG0003417	OG0003181	-	WP_011103962.1	DAKCFMEO_00776
N0.HOG0003418	OG0003182	-	WP_011103963.1	DAKCFMEO_00778
N0.HOG0003419	OG0003183	-	WP_011103964.1	DAKCFMEO_00780
N0.HOG0003420	OG0003184	-	WP_011103965.1	DAKCFMEO_00788
N0.HOG0003421	OG0003185	-	WP_011103966.1	DAKCFMEO_00789
N0.HOG0003422	OG0003186	-	WP_011103970.1	DAKCFMEO_00802
N0.HOG0003423	OG0003187	-	WP_011103972.1	DAKCFMEO_00816
N0.HOG0003424	OG0003188	-	WP_011103979.1	DAKCFMEO_03844
N0.HOG0003425	OG0003189	-	WP_011103980.1	DAKCFMEO_03845
N0.HOG0003426	OG0003190	-	WP_011103982.1	DAKCFMEO_03847
N0.HOG0003427	OG0003191	-	WP_011103987.1	DAKCFMEO_01004
N0.HOG0003428	OG0003192	-	WP_011103989.1	DAKCFMEO_00824
N0.HOG0003429	OG0003193	-	WP_011103990.1	DAKCFMEO_00827
N0.HOG0003430	OG0003194	-	WP_011103993.1	DAKCFMEO_00836
N0.HOG0003431	OG0003195	-	WP_011104008.1	DAKCFMEO_00859
N0.HOG0003432	OG0003196	-	WP_011104011.1	DAKCFMEO_00868
N0.HOG0003433	OG0003197	-	WP_011104012.1	DAKCFMEO_00870
N0.HOG0003434	OG0003198	-	WP_011104013.1	DAKCFMEO_00871
N0.HOG0003435	OG0003199	-	WP_011104014.1	DAKCFMEO_00872
N0.HOG0003436	OG0003200	-	WP_011104019.1, WP_046463433.1	
N0.HOG0003437	OG0003201	-	WP_011104020.1	DAKCFMEO_00900
N0.HOG0003438	OG0003202	-	WP_011104022.1	DAKCFMEO_00901
N0.HOG0003439	OG0003203	-	WP_011104023.1	DAKCFMEO_00902
N0.HOG0003440	OG0003204	-	WP_011104024.1	DAKCFMEO_00904
N0.HOG0003441	OG0003205	-	WP_011104026.1	DAKCFMEO_00907
N0.HOG0003442	OG0003206	-	WP_011104027.1	DAKCFMEO_00916
N0.HOG0003443	OG0003207	-	WP_011104029.1	DAKCFMEO_01405
N0.HOG0003444	OG0003208	-	WP_011104033.1	DAKCFMEO_01368
N0.HOG0003445	OG0003209	-	WP_011104034.1	DAKCFMEO_01365
N0.HOG0003446	OG0003210	-	WP_011104035.1	DAKCFMEO_01364
N0.HOG0003447	OG0003211	-	WP_011104036.1	DAKCFMEO_01363
N0.HOG0003448	OG0003212	-	WP_011104038.1	DAKCFMEO_04461
N0.HOG0003449	OG0003213	-	WP_011104041.1	DAKCFMEO_01353
N0.HOG0003450	OG0003214	-	WP_011104044.1	DAKCFMEO_01347
N0.HOG0003451	OG0003215	-	WP_011104045.1	DAKCFMEO_01346
N0.HOG0003452	OG0003216	-	WP_011104047.1	DAKCFMEO_01343
N0.HOG0003453	OG0003217	-	WP_011104050.1	DAKCFMEO_01336
N0.HOG0003454	OG0003218	-	WP_011104051.1	DAKCFMEO_01335
N0.HOG0003455	OG0003219	-	WP_011104052.1	DAKCFMEO_01334
N0.HOG0003456	OG0003220	-	WP_011104053.1	DAKCFMEO_01333
N0.HOG0003457	OG0003221	-	WP_011104054.1	DAKCFMEO_01332
N0.HOG0003458	OG0003222	-	WP_011104055.1	DAKCFMEO_01331
N0.HOG0003459	OG0003223	-	WP_011104057.1	DAKCFMEO_01326
N0.HOG0003460	OG0003224	-	WP_011104058.1	DAKCFMEO_01325
N0.HOG0003461	OG0003225	-	WP_011104060.1	DAKCFMEO_01323
N0.HOG0003462	OG0003226	-	WP_011104063.1	DAKCFMEO_01319
N0.HOG0003463	OG0003227	-	WP_011104064.1	DAKCFMEO_01318
N0.HOG0003464	OG0003228	-	WP_011104065.1	DAKCFMEO_01316
N0.HOG0003465	OG0003229	-	WP_011104080.1	DAKCFMEO_01403
N0.HOG0003466	OG0003230	-	WP_011104081.1	DAKCFMEO_01400
N0.HOG0003467	OG0003231	-	WP_011104082.1	DAKCFMEO_01398
N0.HOG0003468	OG0003232	-	WP_011104083.1	DAKCFMEO_01397
N0.HOG0003469	OG0003233	-	WP_011104084.1	DAKCFMEO_01396
N0.HOG0003470	OG0003234	-	WP_011104085.1	DAKCFMEO_01395
N0.HOG0003471	OG0003235	-	WP_011104086.1	DAKCFMEO_01394
N0.HOG0003472	OG0003236	-	WP_011104087.1	DAKCFMEO_01393
N0.HOG0003473	OG0003237	-	WP_011104088.1	DAKCFMEO_01392
N0.HOG0003474	OG0003238	-	WP_011104089.1	DAKCFMEO_01391
N0.HOG0003475	OG0003239	-	WP_011104090.1	DAKCFMEO_01390
N0.HOG0003476	OG0003240	-	WP_011104091.1	DAKCFMEO_01387
N0.HOG0003477	OG0003241	-	WP_011104093.1	DAKCFMEO_01379
N0.HOG0003478	OG0003242	-	WP_011104094.1	DAKCFMEO_01377
N0.HOG0003479	OG0003243	-	WP_011104098.1	DAKCFMEO_00887
N0.HOG0003480	OG0003244	-	WP_011104102.1	DAKCFMEO_00891
N0.HOG0003481	OG0003245	-	WP_011104111.1	DAKCFMEO_01034
N0.HOG0003482	OG0003246	-	WP_011104112.1	DAKCFMEO_01038
N0.HOG0003483	OG0003247	-	WP_011104113.1	DAKCFMEO_01040
N0.HOG0003484	OG0003248	-	WP_011104114.1	DAKCFMEO_01042
N0.HOG0003485	OG0003249	-	WP_011104120.1	DAKCFMEO_01044
N0.HOG0003486	OG0003250	-	WP_011104121.1	DAKCFMEO_01046
N0.HOG0003487	OG0003251	-	WP_011104122.1	DAKCFMEO_01050
N0.HOG0003488	OG0003252	-	WP_011104123.1	DAKCFMEO_01052
N0.HOG0003489	OG0003253	-	WP_011104128.1, WP_011105573.1	
N0.HOG0003490	OG0003254	-	WP_011104134.1	DAKCFMEO_01103
N0.HOG0003491	OG0003255	-	WP_011104136.1	DAKCFMEO_01110
N0.HOG0003492	OG0003256	-	WP_011104137.1	DAKCFMEO_01112
N0.HOG0003493	OG0003257	-	WP_011104140.1	DAKCFMEO_01118
N0.HOG0003494	OG0003258	-	WP_011104144.1	DAKCFMEO_01127
N0.HOG0003495	OG0003259	-	WP_011104145.1	DAKCFMEO_01128
N0.HOG0003496	OG0003260	-	WP_011104147.1	DAKCFMEO_01130
N0.HOG0003497	OG0003261	-	WP_011104148.1	DAKCFMEO_01131
N0.HOG0003498	OG0003262	-	WP_011104152.1	DAKCFMEO_01178
N0.HOG0003499	OG0003263	-	WP_011104154.1	DAKCFMEO_01180
N0.HOG0003500	OG0003264	-	WP_011104155.1	DAKCFMEO_01181
N0.HOG0003501	OG0003265	-	WP_011104156.1	DAKCFMEO_01183
N0.HOG0003502	OG0003266	-	WP_011104157.1	DAKCFMEO_01185
N0.HOG0003503	OG0003267	-	WP_011104161.1	DAKCFMEO_03715
N0.HOG0003504	OG0003268	-	WP_011104162.1	DAKCFMEO_03717
N0.HOG0003505	OG0003269	-	WP_011104163.1	DAKCFMEO_03720
N0.HOG0003506	OG0003270	-	WP_011104164.1	DAKCFMEO_03721
N0.HOG0003507	OG0003271	-	WP_011104166.1	DAKCFMEO_03724
N0.HOG0003508	OG0003272	-	WP_011104167.1	DAKCFMEO_03727
N0.HOG0003509	OG0003273	-	WP_011104169.1	DAKCFMEO_03729
N0.HOG0003510	OG0003274	-	WP_011104170.1	DAKCFMEO_03731
N0.HOG0003511	OG0003275	-	WP_011104175.1	DAKCFMEO_03738
N0.HOG0003512	OG0003276	-	WP_011104176.1	DAKCFMEO_03739
N0.HOG0003513	OG0003277	-	WP_011104178.1	DAKCFMEO_03744
N0.HOG0003514	OG0003278	-	WP_011104179.1	DAKCFMEO_03745
N0.HOG0003515	OG0003279	-	WP_011104183.1	DAKCFMEO_03752
N0.HOG0003516	OG0003280	-	WP_011104188.1	DAKCFMEO_03763
N0.HOG0003517	OG0003281	-	WP_011104189.1	DAKCFMEO_03768
N0.HOG0003518	OG0003282	-	WP_011104191.1	DAKCFMEO_03773
N0.HOG0003519	OG0003283	-	WP_011104192.1	DAKCFMEO_03774
N0.HOG0003520	OG0003284	-	WP_011104195.1	DAKCFMEO_03776
N0.HOG0003521	OG0003285	-	WP_011104197.1	DAKCFMEO_03780
N0.HOG0003522	OG0003286	-	WP_011104198.1	DAKCFMEO_03781
N0.HOG0003523	OG0003287	-	WP_011104204.1	DAKCFMEO_03787
N0.HOG0003524	OG0003288	-	WP_011104205.1	DAKCFMEO_03788
N0.HOG0003525	OG0003289	-	WP_011104206.1	DAKCFMEO_03789
N0.HOG0003526	OG0003290	-	WP_011104207.1	DAKCFMEO_03790
N0.HOG0003527	OG0003291	-	WP_011104208.1	DAKCFMEO_03804
N0.HOG0003528	OG0003292	-	WP_011104209.1	DAKCFMEO_03806
N0.HOG0003529	OG0003293	-	WP_011104210.1	DAKCFMEO_03808
N0.HOG0003530	OG0003294	-	WP_046463789.1, WP_011104236.1	
N0.HOG0003531	OG0003295	-	WP_011104238.1	DAKCFMEO_01498
N0.HOG0003532	OG0003296	-	WP_011104241.1	DAKCFMEO_04389
N0.HOG0003533	OG0003297	-	WP_011104242.1	DAKCFMEO_04388
N0.HOG0003534	OG0003298	-	WP_011104259.1	DAKCFMEO_00940
N0.HOG0003535	OG0003299	-	WP_011104261.1	DAKCFMEO_03909
N0.HOG0003536	OG0003300	-	WP_011104262.1	DAKCFMEO_03911
N0.HOG0003537	OG0003301	-	WP_011104263.1	DAKCFMEO_03912
N0.HOG0003538	OG0003302	-	WP_011104264.1	DAKCFMEO_03921
N0.HOG0003539	OG0003303	-	WP_011104265.1	DAKCFMEO_03922
N0.HOG0003540	OG0003304	-	WP_011104268.1	DAKCFMEO_03932
N0.HOG0003541	OG0003305	-	WP_011104279.1	DAKCFMEO_00327
N0.HOG0003542	OG0003306	-	WP_011104280.1	DAKCFMEO_01804
N0.HOG0003543	OG0003307	-	WP_011104284.1	DAKCFMEO_03940
N0.HOG0003544	OG0003308	-	WP_011104287.1	DAKCFMEO_03947
N0.HOG0003545	OG0003309	-	WP_011104288.1	DAKCFMEO_03948
N0.HOG0003546	OG0003310	-	WP_011104290.1	DAKCFMEO_03949
N0.HOG0003547	OG0003311	-	WP_011104294.1	DAKCFMEO_03958
N0.HOG0003548	OG0003312	-	WP_011104300.1	DAKCFMEO_03969
N0.HOG0003549	OG0003313	-	WP_011104304.1	DAKCFMEO_03974
N0.HOG0003550	OG0003314	-	WP_011104305.1	DAKCFMEO_03975
N0.HOG0003551	OG0003315	-	WP_011104308.1	DAKCFMEO_03978
N0.HOG0003552	OG0003316	-	WP_011104311.1	DAKCFMEO_00604
N0.HOG0003553	OG0003317	-	WP_011104312.1	DAKCFMEO_00605
N0.HOG0003554	OG0003318	-	WP_011104314.1	DAKCFMEO_03992
N0.HOG0003555	OG0003319	-	WP_011104317.1	DAKCFMEO_03997
N0.HOG0003556	OG0003320	-	WP_011104318.1	DAKCFMEO_03998
N0.HOG0003557	OG0003321	-	WP_011104319.1	DAKCFMEO_04000
N0.HOG0003558	OG0003322	-	WP_011104320.1	DAKCFMEO_04001
N0.HOG0003559	OG0003323	-	WP_011104322.1	DAKCFMEO_04003
N0.HOG0003560	OG0003324	-	WP_011104323.1	DAKCFMEO_04004
N0.HOG0003561	OG0003325	-	WP_011104324.1	DAKCFMEO_04005
N0.HOG0003562	OG0003326	-	WP_011104325.1	DAKCFMEO_04007
N0.HOG0003563	OG0003327	-	WP_011104327.1	DAKCFMEO_02053
N0.HOG0003564	OG0003328	-	WP_011104333.1	DAKCFMEO_03902
N0.HOG0003565	OG0003329	-	WP_011104336.1	DAKCFMEO_04026
N0.HOG0003566	OG0003330	-	WP_011104341.1	DAKCFMEO_04036
N0.HOG0003567	OG0003331	-	WP_011104342.1	DAKCFMEO_04037
N0.HOG0003568	OG0003332	-	WP_011104343.1	DAKCFMEO_04038
N0.HOG0003569	OG0003333	-	WP_011104344.1	DAKCFMEO_04041
N0.HOG0003570	OG0003334	-	WP_011104349.1	DAKCFMEO_04011
N0.HOG0003571	OG0003335	-	WP_011104350.1	DAKCFMEO_04012
N0.HOG0003572	OG0003336	-	WP_011104365.1	DAKCFMEO_04794
N0.HOG0003573	OG0003337	-	WP_011104368.1	DAKCFMEO_03107
N0.HOG0003574	OG0003338	-	WP_011104371.1	DAKCFMEO_04062
N0.HOG0003575	OG0003339	-	WP_011104374.1	DAKCFMEO_04016
N0.HOG0003576	OG0003340	-	WP_011104391.1	DAKCFMEO_04088
N0.HOG0003577	OG0003341	-	WP_011104393.1	DAKCFMEO_04097
N0.HOG0003578	OG0003342	-	WP_011104394.1	DAKCFMEO_04100
N0.HOG0003579	OG0003343	-	WP_011104396.1	DAKCFMEO_04106
